吨级,XCMG型号,本地数据文件,数据类型,市场版本,外部来源,核验状态,备注
1-2 吨级,XCMG XE19U,source-excel/XCMG_1-2t_mini_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
2-3 吨级,XCMG XE27U,source-excel/XCMG_2-3t_mini_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
3.5 吨级,XCMG XE35U,source-excel/XCMG_3.5t_mini_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
4-5 吨级,XCMG XE45U,source-excel/XCMG_4-5t_mini_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
5-6 吨级,XCMG XE55U,source-excel/XCMG_5-6t_mini_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
7-8 吨级,XCMG XE75U,source-excel/XCMG_7-8t_mini_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
8-10 吨级,XCMG XE80U,source-excel/XCMG_8-10t_mini_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,已替换为 8-10 吨级修订数据；缺失项按待核验处理
12-14 吨级,XCMG XE135U,source-excel/XCMG_12-14t_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
14-16 吨级短尾,XCMG XE155UCR,source-excel/XCMG_14-16t_short_tail_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,短尾机型组；缺失项按待核验处理
21-24 吨级,XCMG XE225U,source-excel/XCMG_21-24t_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
24-28 吨级,XCMG XE250U,source-excel/XCMG_24-28t_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,破碎工况有效字段覆盖不足；缺失项按待核验处理
24-28 吨级短尾,XCMG XE235UCR,source-excel/XCMG_24-28t_short_tail_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,短尾机型组；破碎工况有效字段覆盖不足；缺失项按待核验处理
28-33 吨级,XCMG XE300U,source-excel/XCMG_28-33t_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,缺失项按待核验处理
33-40 吨级,XCMG XE360U,source-excel/XCMG_33-40t_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,使用修订版 33-40 1.xlsx；缺失项按待核验处理
40-60 吨级,XCMG XE490U,source-excel/XCMG_40-60t_excavator_competitor_source.xlsx,竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,新增 40-60.xlsx；缺失项按待核验处理
RT 60 吨级,XCMG XCR60U,source-excel/XCMG_crane_benchmark_data_pool.xlsx#RT-60t,越野轮胎起重机竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,起重机原始页；空白按资料未记录处理
RT 75 吨级,XCMG XCR75U,source-excel/XCMG_crane_benchmark_data_pool.xlsx#RT-75t,越野轮胎起重机竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,Zoomlion字段覆盖不足；空白按资料未记录处理
RT 100 吨级,XCMG XCR100U,source-excel/XCMG_crane_benchmark_data_pool.xlsx#RT-100t,越野轮胎起重机竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,Zoomlion字段覆盖不足；空白按资料未记录处理
RT 130 吨级,XCMG XCR130U,source-excel/XCMG_crane_benchmark_data_pool.xlsx#RT-130t,越野轮胎起重机竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,内部对标使用,空白按资料未记录处理
RT 160 吨级,XCMG XCR165U,source-excel/XCMG_crane_benchmark_data_pool.xlsx#RT-160t,越野轮胎起重机竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,数据待补充,XCR165U参数为空；仅展示竞品参考数据且不生成XCMG排名
AT 150 吨级,XCMG XCA150U,source-excel/XCMG_crane_benchmark_data_pool.xlsx#AT-150t,全地面起重机竞品参数与配置原始表,北美市场口径待逐项核验,待补充厂家手册或官网链接,数据待核验,竞品数值为空且表头疑似复用RT130吨级；不生成竞品排名
